GO Annotation,Taxon,Count of Proteins with Annotation,Proportion of Proteins with Annotation
clathrin coat of coated pit,serrulata-SJAN,9,0.00028512593061935686
clathrin coat of trans-Golgi network vesicle,serrulata-SJAN,9,0.00028512593061935686
cytoplasmic microtubule,serrulata-SJAN,9,0.00028512593061935686
endoplasmic reticulum tubular network,serrulata-SJAN,9,0.00028512593061935686
eukaryotic translation initiation factor 2 complex,serrulata-SJAN,9,0.00028512593061935686
gamma-tubulin complex,serrulata-SJAN,9,0.00028512593061935686
glycerol-3-phosphate dehydrogenase complex,serrulata-SJAN,9,0.00028512593061935686
nuclear RNA-directed RNA polymerase complex,serrulata-SJAN,9,0.00028512593061935686
nuclear cap binding complex,serrulata-SJAN,9,0.00028512593061935686
nuclear pore inner ring,serrulata-SJAN,9,0.00028512593061935686
nuclear proteasome complex,serrulata-SJAN,9,0.00028512593061935686
peroxisomal importomer complex,serrulata-SJAN,9,0.00028512593061935686
"phosphatidylinositol 3-kinase complex, class III, type I",serrulata-SJAN,9,0.00028512593061935686
"phosphatidylinositol 3-kinase complex, class III, type II",serrulata-SJAN,9,0.00028512593061935686
postsynaptic membrane,serrulata-SJAN,9,0.00028512593061935686
prefoldin complex,serrulata-SJAN,9,0.00028512593061935686
transcription factor TFIIA complex,serrulata-SJAN,9,0.00028512593061935686
transcription factor TFIIH core complex,serrulata-SJAN,9,0.00028512593061935686
transcription preinitiation complex,serrulata-SJAN,9,0.00028512593061935686
ESCRT I complex,serrulata-SJAN,8,0.00025344527166165057
Mon1-Ccz1 complex,serrulata-SJAN,8,0.00025344527166165057
Sec61 translocon complex,serrulata-SJAN,8,0.00025344527166165057
TAT protein transport complex,serrulata-SJAN,8,0.00025344527166165057
U4 snRNP,serrulata-SJAN,8,0.00025344527166165057
alpha DNA polymerase:primase complex,serrulata-SJAN,8,0.00025344527166165057
aminoacyl-tRNA synthetase multienzyme complex,serrulata-SJAN,8,0.00025344527166165057
box H/ACA snoRNP complex,serrulata-SJAN,8,0.00025344527166165057
condensed chromosome,serrulata-SJAN,8,0.00025344527166165057
"cortical microtubule, transverse to long axis",serrulata-SJAN,8,0.00025344527166165057
epsilon DNA polymerase complex,serrulata-SJAN,8,0.00025344527166165057
equatorial microtubule organizing center,serrulata-SJAN,8,0.00025344527166165057
extrinsic component of Golgi membrane,serrulata-SJAN,8,0.00025344527166165057
glutamatergic synapse,serrulata-SJAN,8,0.00025344527166165057
integral component of chloroplast inner membrane,serrulata-SJAN,8,0.00025344527166165057
integral component of thylakoid membrane,serrulata-SJAN,8,0.00025344527166165057
kinetochore microtubule,serrulata-SJAN,8,0.00025344527166165057
mitochondrial processing peptidase complex,serrulata-SJAN,8,0.00025344527166165057
nascent polypeptide-associated complex,serrulata-SJAN,8,0.00025344527166165057
nuclear lamina,serrulata-SJAN,8,0.00025344527166165057
plastid nucleoid,serrulata-SJAN,8,0.00025344527166165057
signal peptidase complex,serrulata-SJAN,8,0.00025344527166165057
trans-Golgi network membrane,serrulata-SJAN,8,0.00025344527166165057
trans-Golgi network transport vesicle,serrulata-SJAN,8,0.00025344527166165057
transcription repressor complex,serrulata-SJAN,8,0.00025344527166165057
transport vesicle membrane,serrulata-SJAN,8,0.00025344527166165057
vacuolar lumen,serrulata-SJAN,8,0.00025344527166165057
AP-3 adaptor complex,serrulata-SJAN,7,0.00022176461270394425
ESCRT II complex,serrulata-SJAN,7,0.00022176461270394425
GPI-anchor transamidase complex,serrulata-SJAN,7,0.00022176461270394425
Mpp10 complex,serrulata-SJAN,7,0.00022176461270394425
SMN complex,serrulata-SJAN,7,0.00022176461270394425
Scc2-Scc4 cohesin loading complex,serrulata-SJAN,7,0.00022176461270394425
Smc5-Smc6 complex,serrulata-SJAN,7,0.00022176461270394425
TRAPPII protein complex,serrulata-SJAN,7,0.00022176461270394425
Toc complex,serrulata-SJAN,7,0.00022176461270394425
chaperone complex,serrulata-SJAN,7,0.00022176461270394425
chloroplast photosystem I,serrulata-SJAN,7,0.00022176461270394425
cilium,serrulata-SJAN,7,0.00022176461270394425
condensed nuclear chromosome kinetochore,serrulata-SJAN,7,0.00022176461270394425
delta DNA polymerase complex,serrulata-SJAN,7,0.00022176461270394425
dendrite,serrulata-SJAN,7,0.00022176461270394425
endocytic vesicle,serrulata-SJAN,7,0.00022176461270394425
eukaryotic translation elongation factor 1 complex,serrulata-SJAN,7,0.00022176461270394425
extrinsic component of plasma membrane,serrulata-SJAN,7,0.00022176461270394425
integral component of lysosomal membrane,serrulata-SJAN,7,0.00022176461270394425
intracellular organelle,serrulata-SJAN,7,0.00022176461270394425
membrane raft,serrulata-SJAN,7,0.00022176461270394425
mitochondrial proton-transporting ATP synthase complex,serrulata-SJAN,7,0.00022176461270394425
nuclear origin of replication recognition complex,serrulata-SJAN,7,0.00022176461270394425
phosphopyruvate hydratase complex,serrulata-SJAN,7,0.00022176461270394425
plastid inner membrane,serrulata-SJAN,7,0.00022176461270394425
plastid thylakoid membrane,serrulata-SJAN,7,0.00022176461270394425
"proton-transporting V-type ATPase, V0 domain",serrulata-SJAN,7,0.00022176461270394425
"proton-transporting V-type ATPase, V1 domain",serrulata-SJAN,7,0.00022176461270394425
pyruvate dehydrogenase complex,serrulata-SJAN,7,0.00022176461270394425
ribonucleoside-diphosphate reductase complex,serrulata-SJAN,7,0.00022176461270394425
secondary cell wall,serrulata-SJAN,7,0.00022176461270394425
site of polarized growth,serrulata-SJAN,7,0.00022176461270394425
spindle midzone,serrulata-SJAN,7,0.00022176461270394425
transcription export complex 2,serrulata-SJAN,7,0.00022176461270394425
"vacuolar proton-transporting V-type ATPase, V0 domain",serrulata-SJAN,7,0.00022176461270394425
AP-2 adaptor complex,serrulata-SJAN,6,0.00019008395374623793
Dsl1/NZR complex,serrulata-SJAN,6,0.00019008395374623793
Golgi cisterna,serrulata-SJAN,6,0.00019008395374623793
SMN-Sm protein complex,serrulata-SJAN,6,0.00019008395374623793
Sec62/Sec63 complex,serrulata-SJAN,6,0.00019008395374623793
TORC2 complex,serrulata-SJAN,6,0.00019008395374623793
basolateral plasma membrane,serrulata-SJAN,6,0.00019008395374623793
cell junction,serrulata-SJAN,6,0.00019008395374623793
chromoplast stroma,serrulata-SJAN,6,0.00019008395374623793
clathrin complex,serrulata-SJAN,6,0.00019008395374623793
condensin complex,serrulata-SJAN,6,0.00019008395374623793
contractile fiber,serrulata-SJAN,6,0.00019008395374623793
cytoplasmic chromatin,serrulata-SJAN,6,0.00019008395374623793
dense core granule membrane,serrulata-SJAN,6,0.00019008395374623793
dynein complex,serrulata-SJAN,6,0.00019008395374623793
endolysosome membrane,serrulata-SJAN,6,0.00019008395374623793
endoplasmic reticulum-Golgi intermediate compartment membrane,serrulata-SJAN,6,0.00019008395374623793
extrinsic component of mitochondrial inner membrane,serrulata-SJAN,6,0.00019008395374623793
glutamyl-tRNA(Gln) amidotransferase complex,serrulata-SJAN,6,0.00019008395374623793
mRNA cap binding complex,serrulata-SJAN,6,0.00019008395374623793
mitochondrial DNA-directed RNA polymerase complex,serrulata-SJAN,6,0.00019008395374623793
mitochondrial alpha-ketoglutarate dehydrogenase complex,serrulata-SJAN,6,0.00019008395374623793
mitochondrial small ribosomal subunit,serrulata-SJAN,6,0.00019008395374623793
neurofilament,serrulata-SJAN,6,0.00019008395374623793
nuclear condensin complex,serrulata-SJAN,6,0.00019008395374623793
nuclear euchromatin,serrulata-SJAN,6,0.00019008395374623793
nuclear pericentric heterochromatin,serrulata-SJAN,6,0.00019008395374623793
nucleus-vacuole junction,serrulata-SJAN,6,0.00019008395374623793
pICln-Sm protein complex,serrulata-SJAN,6,0.00019008395374623793
peroxisomal matrix,serrulata-SJAN,6,0.00019008395374623793
polar nucleus,serrulata-SJAN,6,0.00019008395374623793
postsynapse,serrulata-SJAN,6,0.00019008395374623793
postsynaptic density membrane,serrulata-SJAN,6,0.00019008395374623793
protein kinase CK2 complex,serrulata-SJAN,6,0.00019008395374623793
rDNA protrusion,serrulata-SJAN,6,0.00019008395374623793
synaptic vesicle,serrulata-SJAN,6,0.00019008395374623793
transcription elongation factor complex,serrulata-SJAN,6,0.00019008395374623793
transcription export complex,serrulata-SJAN,6,0.00019008395374623793
transcription factor TFIIIB complex,serrulata-SJAN,6,0.00019008395374623793
AP-4 adaptor complex,serrulata-SJAN,5,0.0001584032947885316
ASAP complex,serrulata-SJAN,5,0.0001584032947885316
BRCA1-A complex,serrulata-SJAN,5,0.0001584032947885316
CAF-1 complex,serrulata-SJAN,5,0.0001584032947885316
CCAAT-binding factor complex,serrulata-SJAN,5,0.0001584032947885316
Casparian strip,serrulata-SJAN,5,0.0001584032947885316
Cul3-RING ubiquitin ligase complex,serrulata-SJAN,5,0.0001584032947885316
Lsm1-7-Pat1 complex,serrulata-SJAN,5,0.0001584032947885316
PAS complex,serrulata-SJAN,5,0.0001584032947885316
PSII associated light-harvesting complex II,serrulata-SJAN,5,0.0001584032947885316
RNA nuclear export complex,serrulata-SJAN,5,0.0001584032947885316
TIM22 mitochondrial import inner membrane insertion complex,serrulata-SJAN,5,0.0001584032947885316
clathrin vesicle coat,serrulata-SJAN,5,0.0001584032947885316
cortical microtubule cytoskeleton,serrulata-SJAN,5,0.0001584032947885316
cyclin/CDK positive transcription elongation factor complex,serrulata-SJAN,5,0.0001584032947885316
etioplast membrane,serrulata-SJAN,5,0.0001584032947885316
etioplast stroma,serrulata-SJAN,5,0.0001584032947885316
euchromatin,serrulata-SJAN,5,0.0001584032947885316
"eukaryotic translation initiation factor 3 complex, eIF3m",serrulata-SJAN,5,0.0001584032947885316
extrinsic component of vacuolar membrane,serrulata-SJAN,5,0.0001584032947885316
fungal-type vacuole membrane,serrulata-SJAN,5,0.0001584032947885316
gamma-tubulin small complex,serrulata-SJAN,5,0.0001584032947885316
growth cone,serrulata-SJAN,5,0.0001584032947885316
intracellular vesicle,serrulata-SJAN,5,0.0001584032947885316
lateral plasma membrane,serrulata-SJAN,5,0.0001584032947885316
leucoplast,serrulata-SJAN,5,0.0001584032947885316
mitochondrial outer membrane translocase complex,serrulata-SJAN,5,0.0001584032947885316
molybdopterin synthase complex,serrulata-SJAN,5,0.0001584032947885316
multi-eIF complex,serrulata-SJAN,5,0.0001584032947885316
neuron projection,serrulata-SJAN,5,0.0001584032947885316
neuronal cell body,serrulata-SJAN,5,0.0001584032947885316
nuclear inner membrane,serrulata-SJAN,5,0.0001584032947885316
nuclear pre-replicative complex,serrulata-SJAN,5,0.0001584032947885316
nucleotide-excision repair factor 3 complex,serrulata-SJAN,5,0.0001584032947885316
plastid membrane,serrulata-SJAN,5,0.0001584032947885316
preribosome,serrulata-SJAN,5,0.0001584032947885316
primary cell wall,serrulata-SJAN,5,0.0001584032947885316
protein serine/threonine phosphatase complex,serrulata-SJAN,5,0.0001584032947885316
sperm connecting piece,serrulata-SJAN,5,0.0001584032947885316
sperm flagellum,serrulata-SJAN,5,0.0001584032947885316
succinate dehydrogenase complex,serrulata-SJAN,5,0.0001584032947885316
supramolecular complex,serrulata-SJAN,5,0.0001584032947885316
synapse,serrulata-SJAN,5,0.0001584032947885316
tRNA methyltransferase complex,serrulata-SJAN,5,0.0001584032947885316
tricarboxylic acid cycle enzyme complex,serrulata-SJAN,5,0.0001584032947885316
AP-1 adaptor complex,serrulata-SJAN,4,0.00012672263583082528
AP-type membrane coat adaptor complex,serrulata-SJAN,4,0.00012672263583082528
CAAX-protein geranylgeranyltransferase complex,serrulata-SJAN,4,0.00012672263583082528
EARP complex,serrulata-SJAN,4,0.00012672263583082528
Hrd1p ubiquitin ligase ERAD-L complex,serrulata-SJAN,4,0.00012672263583082528
Ku70:Ku80 complex,serrulata-SJAN,4,0.00012672263583082528
MOZ/MORF histone acetyltransferase complex,serrulata-SJAN,4,0.00012672263583082528
NatB complex,serrulata-SJAN,4,0.00012672263583082528
Noc4p-Nop14p complex,serrulata-SJAN,4,0.00012672263583082528
PCNA complex,serrulata-SJAN,4,0.00012672263583082528
RNA polymerase II transcription regulator complex,serrulata-SJAN,4,0.00012672263583082528
"RNA polymerase II, holoenzyme",serrulata-SJAN,4,0.00012672263583082528
RNA polymerase IV transcription regulator complex,serrulata-SJAN,4,0.00012672263583082528
Rab-protein geranylgeranyltransferase complex,serrulata-SJAN,4,0.00012672263583082528
SUMO activating enzyme complex,serrulata-SJAN,4,0.00012672263583082528
Sin3-type complex,serrulata-SJAN,4,0.00012672263583082528
TRAMP complex,serrulata-SJAN,4,0.00012672263583082528
UBC13-MMS2 complex,serrulata-SJAN,4,0.00012672263583082528
Z disc,serrulata-SJAN,4,0.00012672263583082528
actin cortical patch,serrulata-SJAN,4,0.00012672263583082528
carbamoyl-phosphate synthase complex,serrulata-SJAN,4,0.00012672263583082528
cell body,serrulata-SJAN,4,0.00012672263583082528
cell cortex of cell tip,serrulata-SJAN,4,0.00012672263583082528
cell leading edge,serrulata-SJAN,4,0.00012672263583082528
cell septum,serrulata-SJAN,4,0.00012672263583082528
cell tip,serrulata-SJAN,4,0.00012672263583082528
centriole,serrulata-SJAN,4,0.00012672263583082528
"condensed chromosome, centromeric region",serrulata-SJAN,4,0.00012672263583082528
dehydrodolichyl diphosphate synthase complex,serrulata-SJAN,4,0.00012672263583082528
extrinsic component of cytoplasmic side of plasma membrane,serrulata-SJAN,4,0.00012672263583082528
fatty acid elongase complex,serrulata-SJAN,4,0.00012672263583082528
fatty acid synthase complex,serrulata-SJAN,4,0.00012672263583082528
filiform apparatus,serrulata-SJAN,4,0.00012672263583082528
glycine cleavage complex,serrulata-SJAN,4,0.00012672263583082528
granal stacked thylakoid,serrulata-SJAN,4,0.00012672263583082528
integral component of postsynaptic membrane,serrulata-SJAN,4,0.00012672263583082528
intercellular bridge,serrulata-SJAN,4,0.00012672263583082528
kinetoplast,serrulata-SJAN,4,0.00012672263583082528
minus-end kinesin complex,serrulata-SJAN,4,0.00012672263583082528
"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)",serrulata-SJAN,4,0.00012672263583082528
mitochondrial pyruvate dehydrogenase complex,serrulata-SJAN,4,0.00012672263583082528
mitotic checkpoint complex,serrulata-SJAN,4,0.00012672263583082528
mitotic spindle midzone,serrulata-SJAN,4,0.00012672263583082528
monolayer-surrounded lipid storage body,serrulata-SJAN,4,0.00012672263583082528
neuromuscular junction,serrulata-SJAN,4,0.00012672263583082528
nuclear pore nuclear basket,serrulata-SJAN,4,0.00012672263583082528
nuclear replication fork,serrulata-SJAN,4,0.00012672263583082528
nucleoid,serrulata-SJAN,4,0.00012672263583082528
nucleotide-excision repair factor 1 complex,serrulata-SJAN,4,0.00012672263583082528
origin recognition complex,serrulata-SJAN,4,0.00012672263583082528
protein farnesyltransferase complex,serrulata-SJAN,4,0.00012672263583082528
protein phosphatase 4 complex,serrulata-SJAN,4,0.00012672263583082528
senescence-associated vacuole,serrulata-SJAN,4,0.00012672263583082528
site of DNA damage,serrulata-SJAN,4,0.00012672263583082528
synaptonemal complex,serrulata-SJAN,4,0.00012672263583082528
telomerase holoenzyme complex,serrulata-SJAN,4,0.00012672263583082528
transcription factor TFIIE complex,serrulata-SJAN,4,0.00012672263583082528
transcription factor TFIIK complex,serrulata-SJAN,4,0.00012672263583082528
transcriptionally active chromatin,serrulata-SJAN,4,0.00012672263583082528
tubulin complex,serrulata-SJAN,4,0.00012672263583082528
unconventional myosin complex,serrulata-SJAN,4,0.00012672263583082528
"vacuolar proton-transporting V-type ATPase, V1 domain",serrulata-SJAN,4,0.00012672263583082528
Ada2/Gcn5/Ada3 transcription activator complex,serrulata-SJAN,3,9.504197687311896e-05
Atg12-Atg5-Atg16 complex,serrulata-SJAN,3,9.504197687311896e-05
BRISC complex,serrulata-SJAN,3,9.504197687311896e-05
CST complex,serrulata-SJAN,3,9.504197687311896e-05
DNA replication preinitiation complex,serrulata-SJAN,3,9.504197687311896e-05
"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex",serrulata-SJAN,3,9.504197687311896e-05
Derlin-1 retrotranslocation complex,serrulata-SJAN,3,9.504197687311896e-05
ESC/E(Z) complex,serrulata-SJAN,3,9.504197687311896e-05
F-actin capping protein complex,serrulata-SJAN,3,9.504197687311896e-05
FACT complex,serrulata-SJAN,3,9.504197687311896e-05
Hrd1p ubiquitin ligase complex,serrulata-SJAN,3,9.504197687311896e-05
IRE1-TRAF2-ASK1 complex,serrulata-SJAN,3,9.504197687311896e-05
MLL1 complex,serrulata-SJAN,3,9.504197687311896e-05
Ndc80 complex,serrulata-SJAN,3,9.504197687311896e-05
PeBoW complex,serrulata-SJAN,3,9.504197687311896e-05
RNA N6-methyladenosine methyltransferase complex,serrulata-SJAN,3,9.504197687311896e-05
RNA polymerase I core factor complex,serrulata-SJAN,3,9.504197687311896e-05
RNA polymerase transcription factor SL1 complex,serrulata-SJAN,3,9.504197687311896e-05
RZZ complex,serrulata-SJAN,3,9.504197687311896e-05
Rix1 complex,serrulata-SJAN,3,9.504197687311896e-05
U2-type post-mRNA release spliceosomal complex,serrulata-SJAN,3,9.504197687311896e-05
U4atac snRNP,serrulata-SJAN,3,9.504197687311896e-05
UFD1-NPL4 complex,serrulata-SJAN,3,9.504197687311896e-05
VCB complex,serrulata-SJAN,3,9.504197687311896e-05
"actomyosin contractile ring, intermediate layer",serrulata-SJAN,3,9.504197687311896e-05
anchored component of postsynaptic density membrane,serrulata-SJAN,3,9.504197687311896e-05
anchored component of postsynaptic recycling endosome membrane,serrulata-SJAN,3,9.504197687311896e-05
